Unnamed: 0,date,AMBROSIA,batch_id,tavg,prcp,wdir,wspd,wpgt,pres,city_БЕОГРАД - НОВИ БЕОГРАД,city_ВРШАЦ,city_КРАЉЕВО,city_КРАГУЈЕВАЦ,city_НИШ,city_ПОЖАРЕВАЦ,city_СУБОТИЦА
0,2022-02-14,0,1,7.9,0.0,152.0,10.4,25.9,1020.7,1,0,0,0,0,0,0
1,2022-02-15,0,1,11.3,0.0,146.0,9.2,20.4,1016.6,1,0,0,0,0,0,0
2,2022-02-16,0,1,9.0,1.5,162.0,4.9,18.5,1015.8,1,0,0,0,0,0,0
3,2022-02-17,0,1,10.3,0.0,190.0,6.3,18.5,1008.3,1,0,0,0,0,0,0
4,2022-02-18,0,1,10.6,0.5,250.0,8.4,24.1,1016.3,1,0,0,0,0,0,0
5,2022-02-19,0,1,10.7,0.0,53.0,9.3,27.8,1016.1,1,0,0,0,0,0,0
6,2022-02-20,0,1,7.2,0.5,256.0,6.0,16.7,1019.6,1,0,0,0,0,0,0
7,2022-02-21,0,1,9.6,0.3,122.0,8.2,47.0,1009.3,1,0,0,0,0,0,0
8,2022-02-22,0,1,6.7,4.6,300.0,7.4,20.4,1013.3,1,0,0,0,0,0,0
9,2022-02-23,0,1,5.2,0.0,270.0,7.3,18.5,1024.1,1,0,0,0,0,0,0
10,2022-02-28,0,8,2.6,2.8,279.0,6.1,13.0,1025.6,1,0,0,0,0,0,0
11,2022-03-01,0,8,2.4,0.0,270.0,6.2,14.8,1027.1,1,0,0,0,0,0,0
12,2022-03-02,0,8,3.3,0.0,297.0,6.9,16.7,1022.4,1,0,0,0,0,0,0
13,2022-03-03,0,8,4.4,0.0,258.0,9.1,18.5,1017.1,1,0,0,0,0,0,0
14,2022-03-04,0,8,3.6,0.0,273.0,7.3,18.5,1016.2,1,0,0,0,0,0,0
15,2022-03-05,0,8,2.7,0.0,28.0,6.9,16.7,1018.7,1,0,0,0,0,0,0
16,2022-03-06,0,8,2.0,0.0,76.0,10.5,50.0,1017.8,1,0,0,0,0,0,0
17,2022-03-07,0,8,1.3,2.5,336.0,5.8,14.8,1018.6,1,0,0,0,0,0,0
18,2022-03-08,0,8,1.7,3.8,308.0,6.3,16.7,1020.4,1,0,0,0,0,0,0
19,2022-03-09,0,8,1.8,0.0,317.0,6.3,24.1,1021.9,1,0,0,0,0,0,0
20,2022-03-14,0,15,6.9,0.0,136.0,10.1,40.0,1032.9,1,0,0,0,0,0,0
21,2022-03-15,0,15,9.5,0.0,112.0,5.3,14.8,1032.2,1,0,0,0,0,0,0
22,2022-03-16,0,15,10.9,0.0,331.0,5.5,16.7,1023.1,1,0,0,0,0,0,0
23,2022-03-17,0,15,6.0,0.3,97.0,9.5,25.9,1030.3,1,0,0,0,0,0,0
24,2022-03-18,0,15,4.9,0.0,113.0,9.9,27.8,1038.3,1,0,0,0,0,0,0
25,2022-03-19,0,15,5.4,0.0,118.0,8.1,24.1,1038.9,1,0,0,0,0,0,0
26,2022-03-20,0,15,5.0,0.0,92.0,11.6,40.0,1040.5,1,0,0,0,0,0,0
27,2022-03-21,0,15,6.1,0.0,1.0,4.8,14.8,1037.4,1,0,0,0,0,0,0
28,2022-03-22,0,15,8.9,0.0,315.0,5.2,16.7,1033.5,1,0,0,0,0,0,0
29,2022-03-23,0,15,11.7,0.0,61.0,5.7,14.8,1029.9,1,0,0,0,0,0,0
30,2022-03-28,0,22,13.4,0.0,109.0,5.4,16.7,1024.7,1,0,0,0,0,0,0
31,2022-03-29,0,22,14.8,0.0,221.0,5.4,18.5,1012.7,1,0,0,0,0,0,0
32,2022-03-30,0,22,15.7,0.0,193.0,8.2,18.5,1006.7,1,0,0,0,0,0,0
33,2022-03-31,0,22,14.3,0.0,141.0,12.2,43.0,997.2,1,0,0,0,0,0,0
34,2022-04-01,0,22,14.3,9.1,153.0,10.5,27.8,993.9,1,0,0,0,0,0,0
35,2022-04-02,0,22,7.4,13.7,343.0,9.4,76.0,1001.3,1,0,0,0,0,0,0
36,2022-04-03,0,22,3.4,2.3,268.0,11.7,25.9,1013.4,1,0,0,0,0,0,0
37,2022-04-04,0,22,5.8,0.0,204.0,6.3,14.8,1020.1,1,0,0,0,0,0,0
38,2022-04-05,0,22,10.7,0.0,211.0,6.6,16.7,1012.3,1,0,0,0,0,0,0
39,2022-04-06,0,22,16.2,0.0,128.0,8.6,25.9,1009.4,1,0,0,0,0,0,0
40,2022-04-11,0,29,7.1,0.3,290.0,7.8,22.2,1021.7,1,0,0,0,0,0,0
41,2022-04-12,0,29,11.8,0.0,88.0,5.4,14.8,1020.9,1,0,0,0,0,0,0
42,2022-04-13,0,29,12.2,0.0,47.0,5.4,16.7,1021.1,1,0,0,0,0,0,0
43,2022-04-14,0,29,13.5,0.0,87.0,5.1,14.8,1021.1,1,0,0,0,0,0,0
44,2022-04-15,0,29,17.2,0.0,327.0,4.6,14.8,1018.1,1,0,0,0,0,0,0
45,2022-04-16,0,29,12.6,0.0,316.0,8.1,22.2,1019.0,1,0,0,0,0,0,0
46,2022-04-17,0,29,8.5,0.0,22.0,8.5,24.1,1019.3,1,0,0,0,0,0,0
47,2022-04-18,0,29,7.5,0.0,354.0,7.2,16.7,1015.3,1,0,0,0,0,0,0
48,2022-04-19,0,29,8.7,0.0,252.0,5.5,16.7,1013.0,1,0,0,0,0,0,0
49,2022-04-20,0,29,7.6,1.8,218.0,4.7,16.7,1014.4,1,0,0,0,0,0,0
50,2022-05-09,0,36,19.7,0.0,35.0,5.8,14.8,1021.1,1,0,0,0,0,0,0
51,2022-05-10,0,36,17.6,0.0,280.0,5.6,14.8,1020.6,1,0,0,0,0,0,0
52,2022-05-11,0,36,19.4,0.0,239.0,4.8,13.0,1019.8,1,0,0,0,0,0,0
53,2022-05-12,0,36,22.8,0.0,191.0,4.8,13.0,1018.6,1,0,0,0,0,0,0
54,2022-05-13,0,36,24.1,0.0,240.0,5.5,13.0,1016.2,1,0,0,0,0,0,0
55,2022-05-14,0,36,22.7,0.0,329.0,7.0,16.7,1016.9,1,0,0,0,0,0,0
56,2022-05-15,0,36,21.0,0.0,257.0,5.4,14.8,1018.6,1,0,0,0,0,0,0
57,2022-05-16,0,36,22.8,0.0,135.0,4.9,13.0,1018.0,1,0,0,0,0,0,0
58,2022-05-17,0,36,21.9,0.0,273.0,6.3,16.7,1015.2,1,0,0,0,0,0,0
59,2022-05-18,0,36,17.6,9.4,7.0,11.4,50.0,1021.7,1,0,0,0,0,0,0
60,2022-05-23,0,43,20.9,0.0,6.0,5.3,14.8,1010.9,1,0,0,0,0,0,0
61,2022-05-24,0,43,23.4,0.0,127.0,9.6,27.8,1008.3,1,0,0,0,0,0,0
62,2022-05-25,0,43,25.7,0.0,140.0,8.9,22.2,1011.3,1,0,0,0,0,0,0
63,2022-05-26,0,43,23.2,0.0,336.0,6.9,43.0,1020.7,1,0,0,0,0,0,0
64,2022-05-27,1,43,24.4,0.0,136.0,5.6,13.0,1017.5,1,0,0,0,0,0,0
65,2022-05-28,0,43,17.4,7.4,330.0,7.1,43.0,1014.0,1,0,0,0,0,0,0
66,2022-05-29,0,43,13.9,6.1,348.0,4.1,16.7,1011.1,1,0,0,0,0,0,0
67,2022-05-30,0,43,17.8,7.9,31.0,5.8,14.8,1011.6,1,0,0,0,0,0,0
68,2022-05-31,0,43,19.0,1.3,68.0,5.1,16.7,1016.2,1,0,0,0,0,0,0
69,2022-06-01,0,43,22.6,0.5,344.0,4.8,16.7,1015.1,1,0,0,0,0,0,0
70,2022-06-06,0,50,23.5,0.0,6.0,6.7,,1014.0,1,0,0,0,0,0,0
71,2022-06-07,0,50,24.6,0.0,147.0,9.2,,1012.0,1,0,0,0,0,0,0
72,2022-06-08,0,50,22.0,0.0,178.0,8.5,,1008.6,1,0,0,0,0,0,0
73,2022-06-09,0,50,22.3,0.0,124.0,7.8,,1005.6,1,0,0,0,0,0,0
74,2022-06-10,0,50,22.4,0.0,348.0,5.3,,1009.6,1,0,0,0,0,0,0
75,2022-06-11,0,50,21.2,0.0,328.0,6.1,,1013.8,1,0,0,0,0,0,0
76,2022-06-12,0,50,23.6,19.1,322.0,6.5,,1015.4,1,0,0,0,0,0,0
77,2022-06-13,0,50,24.2,0.0,291.0,5.1,,1014.5,1,0,0,0,0,0,0
78,2022-06-14,0,50,22.3,0.0,322.0,6.3,16.7,1018.7,1,0,0,0,0,0,0
79,2022-06-15,0,50,21.4,0.0,281.0,4.7,13.0,1020.3,1,0,0,0,0,0,0
80,2022-06-20,1,57,27.3,0.0,159.0,6.4,18.5,1011.3,1,0,0,0,0,0,0
81,2022-06-21,0,57,26.5,0.0,290.0,6.5,16.7,1010.3,1,0,0,0,0,0,0
82,2022-06-22,0,57,24.0,0.0,333.0,6.1,13.0,1012.7,1,0,0,0,0,0,0
83,2022-06-23,0,57,21.1,4.6,53.0,6.1,14.8,1013.1,1,0,0,0,0,0,0
84,2022-06-24,0,57,24.8,2.5,95.0,5.5,16.7,1013.0,1,0,0,0,0,0,0
85,2022-06-25,0,57,24.1,0.0,110.0,5.6,18.5,1011.4,1,0,0,0,0,0,0
86,2022-06-26,0,57,23.8,16.5,231.0,4.7,14.8,1014.9,1,0,0,0,0,0,0
87,2022-06-27,0,57,26.7,0.3,80.0,4.9,14.8,1016.1,1,0,0,0,0,0,0
88,2022-06-28,1,57,28.5,0.0,104.0,4.9,16.7,1015.6,1,0,0,0,0,0,0
89,2022-06-29,0,57,28.9,0.0,137.0,11.8,43.0,1012.4,1,0,0,0,0,0,0
90,2022-07-18,0,64,23.2,0.0,23.0,5.3,14.8,1023.7,1,0,0,0,0,0,0
91,2022-07-19,0,64,24.7,0.0,40.0,4.4,14.8,1021.4,1,0,0,0,0,0,0
92,2022-07-20,0,64,26.7,0.0,266.0,4.3,14.8,1019.7,1,0,0,0,0,0,0
93,2022-07-21,0,64,28.6,0.0,309.0,4.1,16.7,1016.4,1,0,0,0,0,0,0
94,2022-07-22,0,64,28.8,0.0,264.0,4.7,14.8,1015.7,1,0,0,0,0,0,0
95,2022-07-23,0,64,30.5,0.0,64.0,4.1,13.0,1014.4,1,0,0,0,0,0,0
96,2022-07-24,0,64,28.5,0.0,307.0,6.1,18.5,1015.7,1,0,0,0,0,0,0
97,2022-07-25,1,64,27.6,0.0,274.0,5.2,14.8,1014.4,1,0,0,0,0,0,0
98,2022-07-26,0,64,28.8,0.0,21.0,5.7,16.7,1009.8,1,0,0,0,0,0,0
99,2022-07-27,2,64,26.2,0.0,323.0,5.7,14.8,1012.6,1,0,0,0,0,0,0
100,2022-08-01,1,71,24.1,0.0,295.0,4.8,18.5,1013.9,1,0,0,0,0,0,0
101,2022-08-02,0,71,25.8,0.0,5.0,5.4,14.8,1015.2,1,0,0,0,0,0,0
102,2022-08-03,6,71,26.6,0.0,311.0,5.0,14.8,1015.9,1,0,0,0,0,0,0
103,2022-08-04,1,71,27.8,0.0,14.0,4.5,14.8,1015.7,1,0,0,0,0,0,0
104,2022-08-05,1,71,29.7,0.0,75.0,4.5,14.8,1014.0,1,0,0,0,0,0,0
105,2022-08-06,17,71,28.8,0.0,23.0,4.7,16.7,1012.1,1,0,0,0,0,0,0
106,2022-08-07,31,71,27.0,0.0,310.0,6.6,16.7,1015.0,1,0,0,0,0,0,0
107,2022-08-08,14,71,26.3,0.0,30.0,6.3,16.7,1016.3,1,0,0,0,0,0,0
108,2022-08-09,14,71,23.9,0.5,278.0,6.5,14.8,1019.1,1,0,0,0,0,0,0
109,2022-08-10,54,71,22.7,0.0,299.0,6.3,16.7,1018.9,1,0,0,0,0,0,0
110,2022-08-15,61,78,26.7,0.0,236.0,5.0,14.8,1007.4,1,0,0,0,0,0,0
111,2022-08-16,67,78,27.6,0.0,242.0,7.3,16.7,1009.1,1,0,0,0,0,0,0
112,2022-08-17,109,78,26.8,0.0,252.0,5.7,16.7,1011.4,1,0,0,0,0,0,0
113,2022-08-18,29,78,29.7,0.0,183.0,4.5,14.8,1011.3,1,0,0,0,0,0,0
114,2022-08-19,2,78,30.7,0.0,126.0,7.4,20.4,1009.3,1,0,0,0,0,0,0
115,2022-08-20,18,78,23.3,11.4,333.0,6.0,24.1,1009.8,1,0,0,0,0,0,0
116,2022-08-21,0,78,19.7,9.7,276.0,5.5,13.0,1009.4,1,0,0,0,0,0,0
117,2022-08-22,110,78,20.5,39.1,273.0,5.0,13.0,1009.5,1,0,0,0,0,0,0
118,2022-08-23,13,78,19.3,9.1,305.0,4.0,13.0,1013.2,1,0,0,0,0,0,0
119,2022-08-24,77,78,20.5,6.4,250.0,4.6,13.0,1015.8,1,0,0,0,0,0,0
120,2022-08-29,224,85,23.6,4.8,256.0,5.3,14.8,1016.3,1,0,0,0,0,0,0
121,2022-08-30,163,85,22.6,1.5,210.0,5.0,13.0,1017.1,1,0,0,0,0,0,0
122,2022-08-31,298,85,23.8,0.0,261.0,5.1,14.8,1014.4,1,0,0,0,0,0,0
123,2022-09-01,122,85,18.5,0.0,299.0,5.4,14.8,1013.7,1,0,0,0,0,0,0
124,2022-09-02,36,85,15.2,27.2,273.0,5.8,14.8,1016.0,1,0,0,0,0,0,0
125,2022-09-03,147,85,19.0,3.8,181.0,4.3,13.0,1017.8,1,0,0,0,0,0,0
126,2022-09-04,170,85,20.3,0.0,109.0,6.1,14.8,1019.9,1,0,0,0,0,0,0
127,2022-09-05,109,85,20.7,0.0,151.0,4.4,13.0,1022.9,1,0,0,0,0,0,0
128,2022-09-06,72,85,22.3,0.0,126.0,4.0,14.8,1020.3,1,0,0,0,0,0,0
129,2022-09-07,172,85,23.2,0.0,141.0,7.7,22.2,1016.7,1,0,0,0,0,0,0
130,2022-09-12,348,92,17.7,0.3,277.0,6.4,16.7,1015.2,1,0,0,0,0,0,0
131,2022-09-13,138,92,18.5,0.0,269.0,5.3,14.8,1014.5,1,0,0,0,0,0,0
132,2022-09-14,290,92,22.3,0.0,166.0,5.3,16.7,1011.1,1,0,0,0,0,0,0
133,2022-09-15,297,92,24.3,0.0,187.0,6.0,18.5,1008.3,1,0,0,0,0,0,0
134,2022-09-16,32,92,19.3,0.0,34.0,6.7,16.7,1008.1,1,0,0,0,0,0,0
135,2022-09-17,0,92,13.3,22.4,349.0,7.0,43.0,1005.7,1,0,0,0,0,0,0
136,2022-09-18,4,92,13.9,14.2,264.0,8.3,22.2,1013.4,1,0,0,0,0,0,0
137,2022-09-19,2,92,12.3,0.0,221.0,5.8,14.8,1015.2,1,0,0,0,0,0,0
138,2022-09-20,6,92,12.4,0.5,260.0,5.4,14.8,1018.7,1,0,0,0,0,0,0
139,2022-09-21,1,92,11.0,0.5,279.0,5.0,14.8,1021.0,1,0,0,0,0,0,0
140,2022-09-26,4,99,19.0,0.0,152.0,8.5,20.4,1008.2,1,0,0,0,0,0,0
141,2022-09-27,5,99,17.5,17.3,85.0,4.5,65.0,1002.1,1,0,0,0,0,0,0
142,2022-09-28,5,99,16.3,3.0,95.0,5.8,16.7,1004.2,1,0,0,0,0,0,0
143,2022-09-29,12,99,20.1,1.0,162.0,9.3,22.2,1003.6,1,0,0,0,0,0,0
144,2022-09-30,2,99,20.7,0.0,130.0,5.8,22.2,1011.1,1,0,0,0,0,0,0
145,2022-10-01,6,99,19.6,0.0,168.0,7.5,22.2,1014.5,1,0,0,0,0,0,0
146,2022-10-02,4,99,17.1,6.9,280.0,6.5,18.5,1018.2,1,0,0,0,0,0,0
147,2022-10-03,14,99,14.9,5.8,307.0,7.8,40.0,1018.5,1,0,0,0,0,0,0
148,2022-10-04,8,99,13.1,0.0,262.0,5.8,16.7,1023.0,1,0,0,0,0,0,0
149,2022-10-05,1,99,13.2,0.0,156.0,4.8,14.8,1028.8,1,0,0,0,0,0,0
150,2022-10-10,0,106,14.8,0.0,106.0,6.6,20.4,1023.0,1,0,0,0,0,0,0
151,2022-10-11,0,106,15.2,0.0,175.0,5.8,18.5,1021.9,1,0,0,0,0,0,0
152,2022-10-12,0,106,16.2,0.0,132.0,4.4,13.0,1023.5,1,0,0,0,0,0,0
153,2022-10-13,0,106,16.8,0.0,112.0,5.3,13.0,1021.8,1,0,0,0,0,0,0
154,2022-10-14,0,106,15.6,0.0,125.0,8.0,18.5,1018.8,1,0,0,0,0,0,0
155,2022-10-15,0,106,15.1,0.0,134.0,12.2,27.8,1019.2,1,0,0,0,0,0,0
156,2022-10-16,1,106,16.3,0.0,136.0,10.8,27.8,1024.0,1,0,0,0,0,0,0
157,2022-10-17,0,106,16.8,0.0,116.0,9.2,22.2,1030.7,1,0,0,0,0,0,0
158,2022-10-18,4,106,15.8,0.0,134.0,9.0,25.9,1027.8,1,0,0,0,0,0,0
159,2022-10-19,6,106,12.8,0.0,253.0,5.3,14.8,1022.4,1,0,0,0,0,0,0
160,2022-02-14,0,2,7.6,0.0,136.0,37.6,,1020.4,0,1,0,0,0,0,0
161,2022-02-15,0,2,10.2,0.0,139.0,32.0,,1016.8,0,1,0,0,0,0,0
162,2022-02-16,0,2,7.8,1.0,157.0,15.7,,1015.6,0,1,0,0,0,0,0
163,2022-02-17,0,2,9.5,1.2,161.0,19.1,,1007.7,0,1,0,0,0,0,0
164,2022-02-18,0,2,8.4,0.2,283.0,14.1,,1015.5,0,1,0,0,0,0,0
165,2022-02-19,0,2,10.9,0.0,81.0,23.6,,1015.8,0,1,0,0,0,0,0
166,2022-02-20,0,2,7.1,1.0,229.0,8.5,,1019.5,0,1,0,0,0,0,0
167,2022-02-21,0,2,9.4,5.7,151.0,22.0,,1009.1,0,1,0,0,0,0,0
168,2022-02-22,0,2,5.8,1.5,345.0,9.3,,1012.3,0,1,0,0,0,0,0
169,2022-02-23,0,2,3.0,1.3,263.0,5.3,,1023.4,0,1,0,0,0,0,0
170,2022-02-28,0,9,2.7,4.7,167.0,7.4,,1024.9,0,1,0,0,0,0,0
171,2022-03-01,0,9,2.4,0.4,343.0,6.5,,1026.2,0,1,0,0,0,0,0
172,2022-03-02,0,9,0.1,0.0,286.0,4.1,,1021.4,0,1,0,0,0,0,0
173,2022-03-03,0,9,2.6,0.0,291.0,4.5,,1016.2,0,1,0,0,0,0,0
174,2022-03-04,0,9,2.3,0.5,315.0,7.9,,1015.5,0,1,0,0,0,0,0
175,2022-03-05,0,9,0.5,0.0,6.0,7.3,,1018.0,0,1,0,0,0,0,0
176,2022-03-06,0,9,2.0,3.2,91.0,10.0,,1017.7,0,1,0,0,0,0,0
177,2022-03-07,0,9,1.5,2.0,352.0,6.9,,1017.9,0,1,0,0,0,0,0
178,2022-03-08,0,9,0.6,0.0,355.0,8.7,,1019.1,0,1,0,0,0,0,0
179,2022-03-09,0,9,0.2,0.0,339.0,11.6,,1020.3,0,1,0,0,0,0,0
180,2022-03-14,0,16,6.5,0.0,130.0,19.1,,1033.2,0,1,0,0,0,0,0
181,2022-03-15,0,16,5.6,0.0,34.0,3.5,,1032.4,0,1,0,0,0,0,0
182,2022-03-16,0,16,10.1,8.0,187.0,11.6,,1022.6,0,1,0,0,0,0,0
183,2022-03-17,0,16,5.6,0.0,150.0,24.2,,1030.4,0,1,0,0,0,0,0
184,2022-03-18,0,16,5.4,0.0,110.0,20.8,,1038.3,0,1,0,0,0,0,0
185,2022-03-19,0,16,4.6,0.0,154.0,15.2,,1038.6,0,1,0,0,0,0,0
186,2022-03-20,0,16,4.3,0.0,30.0,16.8,,1040.2,0,1,0,0,0,0,0
187,2022-03-21,0,16,4.6,0.0,349.0,6.4,,1036.7,0,1,0,0,0,0,0
188,2022-03-22,0,16,6.2,0.0,13.0,11.2,,1032.7,0,1,0,0,0,0,0
189,2022-03-23,0,16,11.4,0.0,43.0,12.8,,1029.5,0,1,0,0,0,0,0
190,2022-03-28,0,23,8.9,0.0,132.0,11.1,,1024.4,0,1,0,0,0,0,0
191,2022-03-29,0,23,14.1,0.0,194.0,9.7,,1012.2,0,1,0,0,0,0,0
192,2022-03-30,0,23,15.2,0.0,168.0,14.6,,1006.5,0,1,0,0,0,0,0
193,2022-03-31,0,23,14.7,8.1,145.0,30.3,,997.4,0,1,0,0,0,0,0
194,2022-04-01,0,23,14.3,20.7,145.0,23.6,,994.0,0,1,0,0,0,0,0
195,2022-04-02,0,23,7.4,19.9,312.0,7.8,,1001.1,0,1,0,0,0,0,0
196,2022-04-03,0,23,3.4,1.3,271.0,11.5,,1012.5,0,1,0,0,0,0,0
197,2022-04-04,0,23,4.6,0.0,238.0,4.1,,1019.9,0,1,0,0,0,0,0
198,2022-04-05,0,23,9.2,0.0,187.0,12.3,,1012.0,0,1,0,0,0,0,0
199,2022-04-06,0,23,12.8,0.0,120.0,11.3,,1009.8,0,1,0,0,0,0,0
200,2022-04-11,0,30,6.2,0.8,319.0,8.9,,1020.7,0,1,0,0,0,0,0
201,2022-04-12,0,30,7.0,0.0,37.0,7.1,,1021.2,0,1,0,0,0,0,0
202,2022-04-13,0,30,8.5,0.0,22.0,6.6,,1021.0,0,1,0,0,0,0,0
203,2022-04-14,0,30,10.6,0.0,49.0,6.5,,1020.8,0,1,0,0,0,0,0
204,2022-04-15,0,30,13.9,0.0,31.0,6.3,,1017.9,0,1,0,0,0,0,0
205,2022-04-16,0,30,11.6,0.3,324.0,12.9,,1018.0,0,1,0,0,0,0,0
206,2022-04-17,0,30,6.4,0.0,30.0,11.6,,1018.0,0,1,0,0,0,0,0
207,2022-04-18,0,30,5.9,0.1,357.0,8.3,,1014.5,0,1,0,0,0,0,0
208,2022-04-19,0,30,6.2,0.2,270.0,5.8,,1012.5,0,1,0,0,0,0,0
209,2022-04-20,0,30,7.3,2.5,184.0,8.7,,1014.0,0,1,0,0,0,0,0
210,2022-05-09,0,37,18.4,0.0,51.0,6.8,,1021.1,0,1,0,0,0,0,0
211,2022-05-10,0,37,15.9,1.6,105.0,9.4,,1020.1,0,1,0,0,0,0,0
212,2022-05-11,0,37,16.5,0.0,146.0,4.1,,1019.6,0,1,0,0,0,0,0
213,2022-05-12,0,37,20.8,0.0,145.0,7.7,,1018.7,0,1,0,0,0,0,0
214,2022-05-13,0,37,21.4,0.0,345.0,5.1,,1016.0,0,1,0,0,0,0,0
215,2022-05-14,0,37,20.4,0.0,337.0,10.9,,1016.3,0,1,0,0,0,0,0
216,2022-05-15,0,37,18.4,0.0,297.0,6.7,,1018.2,0,1,0,0,0,0,0
217,2022-05-16,0,37,19.1,0.0,87.0,5.2,,1017.9,0,1,0,0,0,0,0
218,2022-05-17,0,37,21.1,7.8,305.0,10.7,,1014.8,0,1,0,0,0,0,0
219,2022-05-18,0,37,16.6,0.0,359.0,21.8,,1020.9,0,1,0,0,0,0,0
220,2022-05-23,0,44,16.7,0.0,357.0,8.0,,1010.9,0,1,0,0,0,0,0
221,2022-05-24,0,44,19.6,0.8,124.0,18.9,,1009.2,0,1,0,0,0,0,0
222,2022-05-25,0,44,24.6,0.0,138.0,28.3,,1011.4,0,1,0,0,0,0,0
